# x_coordinate,y_coordinate
0.538352,0.012121
0.416263,0.026511
0.757420,0.005980
0.267987,0.036590
0.139768,-0.044315
0.359924,0.050780
0.692769,-0.037725
0.206531,-0.048453
0.199305,-0.058420
0.563470,-0.060037
0.424329,-0.041718
0.669982,-0.010544
0.035134,-0.017052
0.451424,0.077718
0.399302,-0.090944
0.527070,-0.055647
0.377117,0.041866
0.796859,0.033999
0.607840,-0.027037
0.077520,0.005530
0.715878,-0.020052
0.035379,0.024510
0.304608,-0.042813
0.555675,-0.033215
0.287889,0.063736
0.135303,-0.005770
0.455246,-0.006086
0.247817,-0.022231
0.439113,0.040491
0.470537,0.041778
0.597139,-0.044930
0.385247,0.097303
0.466018,-0.070748
0.866023,0.004417
0.196796,-0.005030
0.425951,-0.000036
0.530981,-0.041080
0.639991,-0.063240
0.593042,0.024255
0.527259,-0.057229
0.155459,-0.010947
0.511131,-0.031693
0.137938,0.069534
0.182155,-0.085946
0.196319,0.039879
0.215562,-0.050936
0.708814,-0.008009
0.615530,0.061786
0.849690,0.020504
0.331248,-0.035656
0.278182,-0.044668
0.820951,0.019775
0.641116,0.058960
0.409467,-0.077730
0.525618,-0.008166
0.531567,-0.015859
0.637603,-0.036508
0.407844,-0.059376
0.499202,0.031412
0.092141,0.011089
0.105608,-0.002385
0.667248,0.013147
0.310197,-0.046167
0.568504,0.076547
0.513375,0.080035
0.206295,0.069599
0.269031,-0.099386
0.448382,-0.010382
0.379438,-0.040286
0.710250,-0.046846
0.136932,0.051848
0.304315,-0.003633
0.502319,-0.045702
0.868348,-0.004104
0.898430,-0.019826
0.074620,0.007218
0.081559,0.049725
0.544201,-0.058664
0.144936,0.023587
0.944663,-0.012833
0.513987,0.062019
0.186438,-0.082732
0.246687,0.058388
0.535784,0.001348
0.643600,0.038496
0.067044,-0.037257
0.768667,-0.014577
0.368819,-0.027352
0.592429,-0.036495
0.114838,0.044102
0.059429,-0.006654
0.655744,-0.054429
0.129292,0.062611
0.197372,-0.089237
0.300425,-0.085883
0.228055,0.027765
0.372856,-0.064572
0.768472,0.035110
0.353878,-0.005583
0.640768,0.059937
0.713742,0.042460
0.599562,-0.075170
0.434937,0.072950
0.196434,0.057665
0.698486,-0.053916
0.295083,0.027938
0.082628,-0.015300
0.175965,0.051239
0.237760,0.038996
0.362769,-0.065088
0.764919,0.022811
0.643800,0.008708
0.634078,-0.048272
0.254795,-0.042527
0.381877,0.073236
0.178330,0.033356
0.625664,0.001953
0.562253,-0.055005
0.482077,0.043981
0.406831,-0.080754
0.201005,0.003126
0.480505,0.040465
0.700682,-0.014356
0.347052,-0.001124
0.606660,-0.009787
0.299074,-0.091849
0.652082,-0.008977
0.469947,-0.032612
0.246597,-0.077031
0.168521,-0.038715
0.669315,0.033460
0.949665,0.005890
